0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:39:34 +0900] "GET /Web03_JavaScript/homewok/%EA%B0%95%EC%82%AC%EB%8B%98_HW2.html HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:39:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:44:45 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81HW3.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:44:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:44:55 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81HW3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:44:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:15 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81HW3.html HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:29 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81HW3.html HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:45 +0900] "GET /Web03_JavaScript/21_date.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:46:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:47:58 +0900] "GET /Web03_JavaScript/29_event6.html HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:47:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:49:44 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81_HW3.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:49:44 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:52:16 +0900] "GET /Web03_JavaScript/homewok/%EC%9A%B0%EC%A0%9C%EC%98%81_HW3.html HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:52:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Mar/2024:16:52:54 +0900] "GET /Web01_HTML/result.html HTTP/1.1" 200 164
